Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Jose Franco","CIN",0.580891,0.567247,0,4.7772,15.064,0.041,0,0,,15.8817,69.1879,14.4586,8.99,8.43,2.69059,7.17927,0.454279,0.782355,16.2109,9.18654,4.06842,2.25801,1.52473,0.234302,0.103765,0.13053735345602036,0.236151,1.36244,0.278042,0.70773,,,4.79999,0.0028205,-0.064967,999,,,,,,,53.1,3.31875,49,3.0625,,,,,,,,,,,,,,,,,,,"Jose Franco","sa3008714",683742
"Jorge Alcala","TOR",0.753492,0.569439,0,4.73201,18.071,0,0,0.6499,,18.8102,80.7994,17.3057,10.57,9.89,3.31301,7.19263,0.339848,0.919274,18.7444,8.96853,3.44141,2.60606,1.58515,0.231987,0.0890184,0.14296890050172806,0.238084,1.3024,0.276372,0.701322,,,4.72555,0.000792851,-0.108773,999,,,,,,,77.49999999999999,4.078947368421052,74,3.8947368421052633,,,,,,,,,,,,,,,,,,,"Jorge Alcala","19459",660896
"Dylan Ray","ARI",0.199584,0.187476,0,4.87348,5.721,0,0,0,,5.928,25.9922,5.86264,3.44,3.21,0.890417,2.40243,0.195129,0.300159,5.40369,8.20399,3.64742,2.24926,1.35185,0.207897,0.0924291,0.11546799540519714,0.251728,1.39424,0.292562,0.68748,,,4.6324,0.000770492,0.0138199,999,,,,,,,20.500000000000007,3.416666666666668,21,3.5,,,,,,,,,,,,,,,,,,,"Dylan Ray","sa3020392",691009
"Collin Snider","CHC",0.40941,0.363235,0,4.92585,9.788,0,0,0.7266,,10.1952,44.8542,10.3763,5.99,5.58,1.3598,4.17587,0.271474,0.566376,8.62145,7.61075,3.68633,2.06459,1.20039,0.192211,0.0930987,0.09911181032657623,0.258684,1.42736,0.299247,0.676936,,,4.57319,0.000570549,-0.0785266,999,,,,,,,42.7,4.2700000000000005,44,4.4,,,,,,,,,,,,,,,,,,,"Collin Snider","23307",676092
"Zach Brzykcy","MIA",0.223611,0.198582,0,4.72612,6.464,0,0,0,,6.4937,28.5328,6.10902,3.66,3.41,0.935232,2.99256,0.303062,0.357739,6.19791,8.59005,4.14757,2.0711,1.29619,0.217221,0.104882,0.11233904212713242,0.24259,1.4016,0.286647,0.698332,,,4.64631,0.000113775,-0.0872269,999,,,,,,,19.500000000000007,3.2500000000000013,20,3.3333333333333335,,,,,,,,,,,,,,,,,,,"Zach Brzykcy","27783",694350
"Kolby Allard","CLE",1.98713,2.50336,0,4.75369,36.456,0.38,0,0,,42.2577,182.865,42.4342,23.92,22.32,6.29037,14.7291,1.33607,1.53688,34.1165,7.2661,3.137,2.31626,1.33972,0.186567,0.0805464,0.10602010786533356,0.254708,1.35273,0.286419,0.687459,,,4.61037,-0.000757059,-0.208341,999,,,,,,,144.8,3.447619047619048,149,3.5476190476190474,,,,,,,,,,,,,,,,,,,"Kolby Allard","18694",663465
"Brock Stewart","LAD",1.28993,0.708486,0,5.0284,26.492,0,0,0.781,,27.0086,118.753,25.5391,16.2,15.09,4.73915,11.8726,0.635886,1.75189,30.0993,10.0299,3.95628,2.53519,1.57921,0.253462,0.0999777,0.15348468720912933,0.242933,1.38518,0.295918,0.689209,,,4.7007,-0.0011446,-0.191787,999,,,,,,,92.70000000000002,3.433333333333334,92,3.4074074074074074,,,,,,,,,,,,,,,,,,,"Brock Stewart","16727",592779
"Génesis Cabrera","PHI",0.972177,0.73419,0,4.59873,24.181,0,0,0.6412,,25.3048,109.211,23.7951,13.92,12.93,3.72626,10.0409,0.717196,1.2644,21.4591,7.63221,3.57119,2.13716,1.3253,0.196492,0.0919409,0.10455156862735748,0.243042,1.33714,0.275974,0.695896,,,4.6937,-0.00351844,-0.0951948,999,,,,,,,86.4,3.4560000000000004,86,3.44,,,,,,,,,,,,,,,,,,,"Genesis Cabrera","17490",650893
"Roddery Muñoz","HOU",1.84164,1.58126,0,4.74291,40.007,0.63,0,6.8908,,47.6669,208.312,42.7764,26.89,25.12,7.60252,22.967,1.41572,2.57938,49.7642,9.39599,4.33641,2.16677,1.43543,0.238892,0.110253,0.12863952666521072,0.23405,1.37922,0.280495,0.705145,,,4.72835,-0.00676477,-0.140172,999,,,,,,,195.00000000000006,4.062500000000001,186,3.875,,,,,,,,,,,,,,,,,,,"Roddery Munoz","25311",682610
"Stevie Emanuels","ATH",0.221952,0.194773,0,4.86553,5.616,0,0,0,,5.8452,25.9209,5.3687,3.38,3.16,0.882316,3.05553,0.160112,0.3601,6.16385,9.49063,4.70467,2.01728,1.35852,0.237795,0.117879,0.11991573870182037,0.238553,1.44122,0.29021,0.701661,,,4.74146,-0.00761224,0.0138199,999,,,,,,,22.10000000000001,3.683333333333335,20,3.3333333333333335,,,,,,,,,,,,,,,,,,,"Stevie Emanuels","sa3014698",669434
