Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Max Muncy","LAD",113.391,457.741,383.831,83.9602,44.037,16.1838,1.28855,22.4508,62.7421,63.87,64.1879,2.26704,111.281,5.49862,3.76066,0.462375,5.94199,2.30016,0.725336,0.218742,0.140228,0.24311,0.576808,0.336002,0.443094,0.337775,0.779096,0.224352,3.46816,0.242297,,-0.572806,63.2726,9.187,117.481,-0.572806,0,8.911009550094604,1.4317044019699097,2.61632,267.3399963378906,,,,,,,553.3,4.896460176,553.3,4.896460176,,,,,,,,,,,,,,,,,,,"Max Muncy","13301",571970
"Matt Olson","ATL",154.99,675.374,582.789,143.043,83.3488,29.1503,0.828428,29.7157,86.6145,93.7014,81.1875,3.83423,159.225,5.79101,4.99279,0.614058,11.8247,1.04747,0.362332,0.245446,0.120211,0.235758,0.509893,0.340894,0.451274,0.342167,0.792168,0.205828,2.16527,0.284142,,-1.03802,95.7637,15.9631,119.509,-1.03802,0,14.578508853912354,-11.959105491638184,2.56695,54.459999084472656,,,,,,,852.5,5.5,852.5,5.5,,,,,,,,,,,,,,,,,,,"Matt Olson","14344",621566
"Ryan Jeffers","MIN",122.826,484.809,426.015,102.967,66.4293,20.8883,0.784729,14.8644,55.8588,53.2203,44.0914,0.481396,102.206,8.69176,3.33412,2.58267,8.67835,2.33545,0.764221,0.241697,0.090946,0.210817,0.431397,0.323044,0.399088,0.317097,0.722132,0.157391,3.1292,0.282127,,-0.629696,58.8748,1.59085,102.222,-0.629696,3.34,0.6399093270301819,7.699564695358276,2.56045,250.33999633789062,,,,,,,518.4,4.214634146,518.4,4.214634146,,,,,,,,,,,,,,,,,,,"Ryan Jeffers","24618",680777
"Brendan Donovan","STL",133.556,572.202,507.368,137.523,97.714,27.0595,1.19028,11.5596,65.458,61.9355,48.4815,1.94508,75.6147,10.2569,4.47325,1.62274,13.4769,4.60572,1.74437,0.271053,0.0847279,0.132147,0.641165,0.343969,0.397428,0.325561,0.741397,0.126375,3.41653,0.296618,,-0.813211,73.4198,5.80976,110.753,-0.813211,0,6.479008734226227,-0.5214703679084778,2.55728,284.05999755859375,,,,,,,640.5,4.779850746,640.5,4.779850746,,,,,,,,,,,,,,,,,,,"Brendan Donovan","24679",680977
"Jackson Holliday","BAL",132.647,565.209,502.378,126.365,84.5117,24.9848,2.03323,14.8348,72.0178,58.3159,54.138,1.41221,125.49,4.4017,3.63566,0.655986,11.0361,14.6704,5.00685,0.251533,0.0957841,0.222025,0.431411,0.327523,0.397948,0.317749,0.725471,0.146415,4.95768,0.304986,,-0.0513784,68.9376,2.15381,104.873,-0.0513784,0,3.1950248144567013,2.1949989795684814,2.54181,141.7100067138672,,,,,,,617,4.639097744,617,4.639097744,,,,,,,,,,,,,,,,,,,"Jackson Holliday","31781",702616
"Brandon Nimmo","TEX",146.491,632.581,557.439,140.628,90.0003,23.0915,5.5502,21.9863,82.9982,72.4753,60.6687,0.844413,136.342,8.92596,4.37821,1.16884,11.754,7.63157,2.17535,0.252275,0.0959066,0.215533,0.444975,0.332941,0.431938,0.332604,0.764879,0.179662,5.30307,0.29404,,-0.412547,84.7846,10.0403,115.068,-0.412547,0,10.821510642766953,-7.887203693389893,2.52781,152.22999572753906,,,,,,,759.9,5.20479452,759.9,5.20479452,,,,,,,,,,,,,,,,,,,"Brandon Nimmo","12927",607043
"Kazuma Okamoto","TOR",123.785,509.984,448.823,105.866,59.3368,21.4847,0.505742,24.5387,64.3124,71.1342,50.3136,2.32805,111.202,6.80297,3.46541,0.579375,9.21582,1.10413,0.400305,0.235875,0.0986571,0.21805,0.452451,0.319947,0.450018,0.331603,0.769965,0.214143,2.38268,0.25692,,-0.696523,67.9383,7.67979,113.576,-0.696523,0,7.463774263858795,-0.38205254077911377,2.52042,999,,,,,,,619.1,4.992741935,619.1,4.992741935,,,,,,,,,,,,,,,,,,,"Kazuma Okamoto","sa3063134",672960
"Brandon Lowe","PIT",126.599,538.931,483.607,118.062,69.1537,22.7123,1.487,24.709,65.9938,76.719,45.6368,1.10002,138.131,5.22458,3.98472,0.477817,8.09461,4.10963,1.26378,0.244128,0.0846803,0.256305,0.330388,0.31372,0.450521,0.328879,0.764241,0.206393,3.67173,0.287459,,-0.480651,70.6026,6.92377,108.994,-0.480651,0,5.26427486538887,1.1818606853485107,2.49402,193.3699951171875,,,,,,,642,5.05511811,642,5.05511811,,,,,,,,,,,,,,,,,,,"Brandon Lowe","18882",664040
"Bo Naylor","CLE",121.015,439.213,387.228,82.0307,48.2077,17.3378,1.56349,14.9217,48.7367,48.7457,43.1809,1.00446,112.707,3.428,3.35007,2.0263,5.39204,4.99988,1.4802,0.211841,0.0983143,0.256612,0.383124,0.294244,0.380294,0.295206,0.674539,0.168453,4.34284,0.255217,,-0.225508,45.5315,-6.36495,89.0848,-0.225508,5.49,-5.87592788040638,14.827576637268066,2.46252,328.510009765625,,,,,,,418.6,3.459504132,418.6,3.459504132,,,,,,,,,,,,,,,,,,,"Bo Naylor","21865",666310
"Mike Trout","LAA",121.357,518.082,437.26,105.085,57.5687,18.3922,1.76784,27.3564,69.172,72.9015,70.311,5.2964,155.831,6.87187,3.21635,0.423239,6.20583,3.36083,0.965672,0.240327,0.135714,0.300784,0.451201,0.352101,0.478165,0.355768,0.830265,0.237838,3.66654,0.302107,,-0.577913,79.1817,17.9663,128.441,-0.577913,0,16.788501799106598,-10.762920379638672,2.44088,213.02999877929688,,,,,,,702.3,5.804132231,702.3,5.804132231,,,,,,,,,,,,,,,,,,,"Mike Trout","10155",545361
"Brice Turang","MIL",149.443,629.033,562.013,141.42,100.63,24.3941,3.25098,13.1453,76.9142,61.7304,56.5216,1.30884,132.611,2.4393,4.1622,3.89683,10.4783,30.1605,6.42282,0.251631,0.0898547,0.210817,0.426221,0.32054,0.376774,0.306511,0.697314,0.125143,6.04634,0.305111,,2.35692,70.9828,-3.34226,96.3095,2.35692,0,-0.3944532871246338,2.3062188625335693,2.3368,68.29000091552734,,,,,,,653.7,4.387248322,653.7,4.387248322,,,,,,,,,,,,,,,,,,,"Brice Turang","22186",668930
"Drake Baldwin","ATL",128.545,505.86,455.069,115.417,78.3057,20.7416,0.622591,15.7471,57.9305,62.3242,42.0713,0.769711,91.5662,4.15042,4.03154,0.537345,12.0555,0.351192,0.12537,0.253625,0.0831678,0.181011,0.459463,0.319872,0.405752,0.3165,0.725624,0.152127,1.96782,0.283324,,-0.798111,61.1863,1.41504,101.927,-0.798111,3.76,0.35734421014785767,5.644533038139343,2.336,90.33999633789062,,,,,,,544,4.217054263,544,4.217054263,,,,,,,,,,,,,,,,,,,"Drake Baldwin","31539",686948
"Kyle Teel","CHW",112.232,447.271,392.599,96.0322,65.4249,17.7411,1.23655,11.6296,50.9741,44.7994,46.0142,0.350499,115.599,4.44886,3.30218,0.906699,7.89814,5.08794,1.44758,0.244606,0.102878,0.258454,0.398051,0.328197,0.384961,0.314754,0.713157,0.140354,3.99115,0.314146,,-0.337963,53.4654,0.616888,101.109,-0.337963,3.17,0.24652770161628723,7.146225214004517,2.3314,184.05999755859375,,,,,,,472,4.214285714,472,4.214285714,,,,,,,,,,,,,,,,,,,"Kyle Teel","33549",691019
