Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Scott Engler",,0.0448,0.0532,0,4.85784,1,0,0,0,,1,4.492,0.9962,0.578,0.53976,0.138,0.5482,0.0273,0.0454,0.8588,7.7292,4.9338,1.56658,1.242,0.191184,0.122039,0.06914514303207397,0.255541,1.5444,0.295768,0.715216,0.406004,,4.99234,-0.00670719,-0.0470134,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Scott Engler","sa918353",670081
"David Griffin",,0.0466,0.0602,0.0229,4.88952,0.6949,0.0649,0,0,,1,4.385,1.07,0.5802,0.54328,0.160667,0.3546,0.0182,0.0429,0.712,6.408,3.1914,2.0079,1.446,0.162372,0.0808666,0.08150511980056763,0.268339,1.4246,0.291936,0.703862,0.39101,,4.9923,-0.0067169,-0.0470228,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"David Griffin","sa3015136",701803
"Michael McAvene",,0.0448,0.0533,0,4.87809,1,0,0,0,,1,4.458,1.0147,0.579,0.54201,0.147222,0.4907,0.0271,0.0416,0.8261,7.4349,4.4163,1.68351,1.325,0.185307,0.110072,0.0752355307340622,0.258476,1.5054,0.293823,0.713005,0.389002,,4.99373,-0.00672274,-0.0470134,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Michael McAvene","sa3011727",686449
"Jonathan Bermúdez",,0.0472,0.0578,0.0188,4.72365,0.7526,0.0526,0,0,,1,4.395,1.0054,0.5591,0.52485,0.161222,0.4051,0.0195,0.0539,0.807,7.263,3.6459,1.9921,1.451,0.183618,0.0921729,0.09144482016563416,0.255437,1.4105,0.284448,0.718609,0.347995,,4.99403,-0.0067261,-0.0470134,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Jonathan Bermudez","21241",642834
"Noah Song","BOS",0.0443,0.0563,0.0056,5.09202,0.9151,0.0181,0,0,,1,4.47,1.0555,0.6034,0.56578,0.150333,0.4662,0.0247,0.0448,0.7909,7.1181,4.1958,1.69648,1.353,0.176935,0.104295,0.0726398304104805,0.266608,1.5217,0.299946,0.700333,0.398303,,5.04067,-0.00673503,-0.0441655,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Noah Song","sa3011695",679977
"Donovan Benoit",,0.0456,0.0574,0.0127,4.84173,0.8268,0.0368,0,0,,1,4.481,1.049,0.5797,0.53797,0.131222,0.4868,0.0223,0.0549,0.7353,6.6177,4.3812,1.51048,1.181,0.164093,0.108636,0.05545637756586075,0.266291,1.5358,0.29868,0.707128,0.457998,,4.99552,-0.00674291,-0.0470134,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Donovan Benoit","sa3017464",687630
"Nick Hull","CHC",0.0472,0.0563,0.0146,4.698,0.8079,0.0409,0,0,,1,4.41,1.0194,0.5615,0.522,0.140444,0.4469,0.0214,0.0476,0.7648,6.8832,4.0221,1.71134,1.264,0.173424,0.101338,0.07208617776632309,0.26035,1.4663,0.291987,0.712622,0.431956,,4.91481,-0.00674592,-0.0476664,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Nick Hull","sa3020624",701314
"Elison Joseph","ATL",0.0472,0.0509,0,4.72284,1,0,0,0,,1,4.502,0.9468,0.5628,0.52476,0.130444,0.6092,0.0273,0.047,0.9598,8.6382,5.4828,1.57551,1.174,0.213194,0.135318,0.0778765082359314,0.246191,1.556,0.296258,0.72318,0.407032,,4.87991,-0.00674605,-0.0456951,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Elison Joseph","sa3015306",693176
"Duque Hebbert","DET",0.0445,0.0566,0.008,4.83993,0.8912,0.0232,0,0,,1,4.411,1.0786,0.5761,0.53777,0.149556,0.3654,0.0237,0.0458,0.6698,6.0282,3.2886,1.83306,1.346,0.151848,0.0828384,0.06900930404663086,0.269664,1.444,0.292112,0.702968,0.403311,,4.97336,-0.00675513,-0.0483639,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Duque Hebbert","sa3021026",808986
"Brandon Johnson","KCR",0.0452,0.0568,0.0092,4.98762,0.8639,0.0289,0,0,,1,4.439,1.0365,0.5898,0.55418,0.152778,0.4451,0.0231,0.0433,0.7764,6.9876,4.0059,1.74433,1.375,0.174904,0.10027,0.07463392615318298,0.262365,1.4816,0.292486,0.703473,0.363565,,5.03365,-0.00676962,-0.0449499,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Brandon Johnson","sa3020610",699489
